,产品名称,产品名称(EN),产品型号,SKU/产品码,物料ID,UPC,产品类型,重量（千克）,体积（立方米）,长（厘米）,宽（厘米）,深度（厘米）,是否为危险品？,备注,,,,,,,,,,,,,,,,,,,
,Edge套件侧支撑,Movcam Side Support,MET4,A601-914-01,9-601-914-01,6153054587578,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edge套件UPS底座,Movcam UPS Baseplate,MET5,A601-915-01,9-601-915-01,6153053312348,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineMON 旋转固定座,Movcam KineMON Swivel Mount,MET6,A612-503-01,9-612-503-01,6153055615669,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineMON 冷靴口固定座,KineMON Coldshoe Mount,MET7,A612-504-01,9-581-000-00,6153052652612,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movcam 15mm铝管,"Al Rod of 15mm diameter, 200mm Length",M151,A601-916-01,9-601-916-01,6153050875884,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,碳纤维上手提,Movcam Carbon Fiber Handgrip,MTH1,A601-918-01,9-601-918-01,6153053176100,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,碳纤维上手提 带NATO滑条,Movcam Carbon Fiber Top Handgrip (w/ NATO Slider),MTH1,A601-918-02,9-601-918-02,6153051961968,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movcam 轻型燕尾槽底板,Movcam Sliding Dovetail Plate,MDP1,A601-917-01,9-601-917-01,6153050383303,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,寻像器迷你支架,E-Viewfinder Mini Mount,KRV1,A613-507-01,9-613-507-01,,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,寻像器支架,E-Viewfinder Rod Mount,KRV2,A612-508-01,9-612-508-01,,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toprig 供电底板NP-F,Accsoon Toprig Battery Plate,ACC04-P,ACC04-P,9-594-027-01,664918772147,电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinefinity电动改锥,Kinefinity Screwdriver,TSD1,A710-001-02,9-710-001-02,6153054214207,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 M码,"Kinefinity T-shirt (MAVO Edge 8K, M)",TSE1,A710-101-01,9-710-101-01,6153056425472,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 L码,"Kinefinity T-shirt (MAVO Edge 8K, L)",TSE1,A710-101-02,9-710-101-02,6153051241299,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 XL码,"Kinefinity T-shirt (MAVO Edge 8K, XL)",TSE1,A710-101-03,9-710-101-03,6153050680655,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 XXL码,"Kinefinity T-shirt (MAVO Edge 8K, XXL)",TSE1,A710-101-04,9-710-101-04,6153053081084,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 3XL码,"Kinefinity T-shirt (MAVO Edge 8K, 3XL)",TSE1,A710-101-05,9-710-101-05,6153050016010,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K帆布包,Kinefinity Bag (MAVO Edge 8K),TSE2,A710-201-01,9-710-201-01,6153050186195,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kine LOGO徽章,Kinefinity Badge (Logo),TLG1,A710-202-01,9-710-202-01,6153052153140,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kine LOGO贴,Logo Tag x5,TLG2,A710-301-01,9-710-301-01,6153054731773,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
